ABCC3_XYLT2	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	PXYLT2,SOS,XT-II,XT2,xylT-II,XYLT2
ABCC4_ABCB4	MOAT-B,MOATB,MRP4,ABCC4	ABC21,GBD1,ICP3,MDR2,MDR2/3,MDR3,PFIC-3,PGY3,ABCB4
ABCC4_COL4A2	MOAT-B,MOATB,MRP4,ABCC4	BSVD2,ICH,POREN2,COL4A2
ABCC4_PCCA	MOAT-B,MOATB,MRP4,ABCC4	PCCA
ABCC4_UGGT2	MOAT-B,MOATB,MRP4,ABCC4	HUGT2,UGCGL2,UGT2,UGGT2
ABCC4_UPF3A	MOAT-B,MOATB,MRP4,ABCC4	HUPF3A,RENT3A,UPF3,UPF3A
ABCC5_ATP11B	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	ATPIF,ATPIR,ATP11B
ABCC5_CDC16	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	ANAPC6,APC6,CDC16Hs,CUT9,CDC16
ABCC5_DCUN1D1	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	DCNL1,DCUN1L1,RP42,SCCRO,SCRO,Tes3,DCUN1D1
ABCC5_GCN1L1	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	GCN1L,GCN1L1,PRIC295,GCN1
ABCC5_MANSC1	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	9130403P13Rik,LOH12CR3,MANSC1
ABCC5_SPG7	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	CAR,CMAR,PGN,SPG5C,SPG7
ABCC5_TGFBI	ABC33,EST277145,MOAT-C,MOATC,MRP5,SMRP,pABC11,ABCC5	BIGH3,CDB1,CDG2,CDGG1,CSD,CSD1,CSD2,CSD3,EBMD,LCD1,TGFBI
ABCC6_LTA4H	ABC34,ARA,EST349056,GACI2,MLP1,MOAT-E,MOATE,MRP6,PXE,PXE1,URG7,ABCC6	LTA4H
ABCD3_AK5	ABC43,CBAS5,PMP70,PXMP1,ZWS2,ABCD3	AK6,AK5
ABCD3_DPYD	ABC43,CBAS5,PMP70,PXMP1,ZWS2,ABCD3	DHP,DHPDHASE,DPD,DYPD,DPYD
ABCD3_EXOC4	ABC43,CBAS5,PMP70,PXMP1,ZWS2,ABCD3	SEC8,SEC8L1,Sec8p,EXOC4
ABCD4_ZFYVE1	ABC41,EST352188,MAHCJ,P70R,P79R,PMP69,PXMP1L,ABCD4	DFCP1,PPP1R172,SR3,TAFF1,ZNFN2A1,ZFYVE1
ABCF1_SHC2	ABC27,ABC50,ABCF1	SCK,SHCB,SLI,SHC2
ABCF3_YEATS2	EST201864,ABCF3	FAME4,YEATS2
ABCG1_BACE2	ABC8,WHITE1,ABCG1	AEPLC,ALP56,ASP1,ASP21,BAE2,CDA13,CEAP1,DRAP,BACE2
ABHD12_KIF16B	ABHD12A,BEM46L2,C20orf22,PHARC,dJ965G21.2,hABHD12,ABHD12	C20orf23,KISC20ORF,SNX23,KIF16B
ABHD12_NUDCD3	ABHD12A,BEM46L2,C20orf22,PHARC,dJ965G21.2,hABHD12,ABHD12	NudCL,NUDCD3
ABHD12_PPP2R2A	ABHD12A,BEM46L2,C20orf22,PHARC,dJ965G21.2,hABHD12,ABHD12	B55A,B55ALPHA,PR52A,PR55A,PR55alpha,PPP2R2A
ABHD12_SCFD2	ABHD12A,BEM46L2,C20orf22,PHARC,dJ965G21.2,hABHD12,ABHD12	STXBP1L1,SCFD2
ABHD14A-ACY1_AGR3	ABHD14A-ACY1	AG-3,AG3,BCMP11,HAG3,PDIA18,hAG-3,AGR3
ABHD14A_AGR3	DORZ1,ABHD14A	AG-3,AG3,BCMP11,HAG3,PDIA18,hAG-3,AGR3
ABHD14B_POC1A	CIB,HEL-S-299,ABHD14B	PIX2,SOFT,WDR51A,POC1A
ABHD17A_AP3D1	C19orf27,FAM108A1,ABHD17A	ADTD,HPS10,hBLVR,AP3D1
ABHD17A_NDUFA7	C19orf27,FAM108A1,ABHD17A	B14.5a,CI-B14.5a,NDUFA7
ABHD17A_TCF3	C19orf27,FAM108A1,ABHD17A	TCF-3,TCF3,TCF7L1
ABHD17C_ARNT2	FAM108C1,ABHD17C	WEDAS,bHLHe1,ARNT2
ABHD17C_BHLHE41	FAM108C1,ABHD17C	BHLHB3,DEC2,FNSS1,SHARP1,hDEC2,BHLHE41
ABHD17C_SCAPER	FAM108C1,ABHD17C	IDDRP,MSTP063,ZNF291,Zfp291,SCAPER
ABHD2_ACAN	HS1-2,LABH2,PHPS1-2,ABHD2	AGC1,AGCAN,CSPG1,CSPGCP,MSK16,SEDK,SSOAOD,ACAN
ABHD2_BIRC6	HS1-2,LABH2,PHPS1-2,ABHD2	APOLLON,BRUCE,BIRC6
ABHD8_ILKAP	ABHD8	ILKAP2,ILKAP3,PP2C-DELTA,PP2CD,PPM1O,ILKAP
ABI1_CLMN	ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1,ABI1	CLMN
ABI1_FAM210A	ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1,ABI1	C18orf19,HsT2329,FAM210A
ABI1_GDI2	ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1,ABI1	HEL-S-46e,RABGDIB,GDI2
ABI1_IRAK3	ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1,ABI1	ASRT5,IRAKM,IRAK3
ABI1_KMT2A	ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1,ABI1	ALL-1,ALL1,CXXC7,GAS7,HRX,HTRX,HTRX1,MLL,MLL1,MLL1A,TRX1,WDSTS,KMT2A
ABI2_CARF	ABI-2,ABI2B,AIP-1,AIP1,AblBP3,SSH3BP2,argBP1,argBPIA,argBPIB,ABI2	ALS2CR8,NYD-SP24,CARF
ABI2_CHMP1A	ABI-2,ABI2B,AIP-1,AIP1,AblBP3,SSH3BP2,argBP1,argBPIA,argBPIB,ABI2	CHMP1,PCH8,PCOLN3,PRSM1,VPS46-1,VPS46A,CHMP1A
ABI2_CYP20A1	ABI-2,ABI2B,AIP-1,AIP1,AblBP3,SSH3BP2,argBP1,argBPIA,argBPIB,ABI2	CYP-M,CYP20A1
ABI2_DIAPH2	ABI-2,ABI2B,AIP-1,AIP1,AblBP3,SSH3BP2,argBP1,argBPIA,argBPIB,ABI2	DIA,DIA2,DRF2,POF,POF2,POF2A,DIAPH2
ABI2_MLLT3	ABI-2,ABI2B,AIP-1,AIP1,AblBP3,SSH3BP2,argBP1,argBPIA,argBPIB,ABI2	AF9,YEATS3,MLLT3
ABI3BP_NBPF9	NESHBP,TARSH,ABI3BP	AB6,AG1,NBPF9,NBPF10
ABL1_BCR	ABL,BCR-ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,ABL1	ALL,BCR1,CML,D22S11,D22S662,PHL,BCR
ABL1_NTRK2	ABL,BCR-ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,ABL1	DEE58,EIEE58,GP145-TrkB,OBHD,TRKB,trk-B,NTRK2
ABL1_SLC38A10	ABL,BCR-ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,ABL1	PP1744,SNAT10,SLC38A10
ABL2_KCNH1	ABLL,ARG,ABL2	EAG,EAG1,K(V)10.1,Kv10.1,TMBTS,ZLS1,h-eag,hEAG,hEAG1,KCNH1
ABL2_XRRA1	ABLL,ARG,ABL2	XRRA1
ABLIM1_FANK1	ABLIM,LIMAB1,LIMATIN,abLIM-1,ABLIM1	HSD13,FANK1
ABLIM2_PPP2R2C	ABLIM2	B55-GAMMA,B55gamma,IMYPNO,IMYPNO1,PR52,PR55G,PPP2R2C
ABLIM3_AZU1	HMFN1661,ABLIM3	AZAMP,AZU,CAP37,HBP,HUMAZUR,NAZC,hHBP,AZU1
ABRACL_PERP	C6orf115,Costars,HSPC280,PRO2013,ABRACL	EKVP7,KCP1,KRTCAP1,OLMS2,PIGPC1,THW,dJ496H19.1,PERP
ABR_BAI1	MDB,ABR	BAI1,GDAIF,ADGRB1
ABR_CRK	MDB,ABR	CRKII,p38,CRK
ABR_DDX42	MDB,ABR	DDX42P,RHELP,RNAHP,SF3B8,SF3b125,DDX42
ABR_FAM101B	MDB,ABR	CFM1,FAM101B,RFLNB
ABR_GEMIN4	MDB,ABR	HC56,HCAP1,HHRF-1,NEDMCR,p97,GEMIN4
ABR_MAN2B1	MDB,ABR	LAMAN,MANB,MAN2B1
ABR_MYO1C	MDB,ABR	FSGS6,HuncM-IC,MYO1C,MYO1E
ABR_NXN	MDB,ABR	NRX,RRS2,TRG-4,NXN
ABR_PITPNA	MDB,ABR	HEL-S-36,PI-TPalpha,PITPN,VIB1A,PITPNA
ABR_PPP1R12C	MDB,ABR	AAVS1,LENG3,MBS85,p84,p85,PPP1R12C
ABR_RTN4RL1	MDB,ABR	NGRH2,NgR3,RTN4RL1
ABR_SAYSD1	MDB,ABR	C6orf64,SAYSD1
ABR_SLC43A2	MDB,ABR	LAT4,SLC43A2
ABR_SMG6	MDB,ABR	C17orf31,EST1A,SMG-6,hEST1A,hSMG5/7a,SMG6
ABR_SMYD4	MDB,ABR	ZMYND21,SMYD4
ABR_TRPV1	MDB,ABR	VR1,TRPV1
ABR_VPS53	MDB,ABR	HCCS1,PCH2E,hVps53L,pp13624,VPS53
ABR_YWHAE	MDB,ABR	14-3-3E,HEL2,KCIP-1,MDCR,MDS,YWHAE
ABT1_EIF3G	Esf2,hABT1,ABT1	EIF3-P42,EIF3S4,eIF3-delta,eIF3-p44,EIF3G
ABTB2_APIP	ABTB2A,BTBD22,ABTB2	APIP2,CGI-29,CGI29,MMRP19,hAPIP,APIP
ABTB2_ATXN3	ABTB2A,BTBD22,ABTB2	AT3,ATX3,JOS,MJD,MJD1,SCA3,ATXN3
ABTB2_ELF5	ABTB2A,BTBD22,ABTB2	ESE2,ELF5
ABTB2_NDUFB1	ABTB2A,BTBD22,ABTB2	CI-MNLL,CI-SGDH,MNLL,NDUFB1
ABTB2_TYR	ABTB2A,BTBD22,ABTB2	ATN,CMM8,OCA1,OCA1A,OCAIA,SHEP3,TYR
ACACA_AATF	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	BFR2,CHE-1,CHE1,DED,AATF
ACACA_ADAM9	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	CORD9,MCMP,MDC9,Mltng,ADAM9
ACACA_CCL5	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	D17S136E,RANTES,SCYA5,SIS-delta,SISd,TCP228,eoCP,CCL5
ACACA_CYB5A	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	CYB5,MCB5,METAG,CYB5A
ACACA_ERC1	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	Cast2,ELKS,ERC-1,RAB6IP2,ERC1
ACACA_FAM104A	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	FAM104A,VCF1
ACACA_GGNBP2	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	DIF-3,DIF3,LCRG1,LZK1,ZFP403,ZNF403,GGNBP2
ACACA_GLIPR1L2	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	GLIPR1L2
ACACA_GSDMB	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	GSDMB-1,GSDML,PP4052,PRO2521,GSDMB
ACACA_HTRA4	ACAC,ACACAD,ACACalpha,ACC,ACC1,ACCA,ACCalpha,Acac1,hACC1,ACACA	HTRA4
